name,slide_mean,slide_std,patient_mean,patient_std,n_folds
Fusion_Smart_MeanMIL_UNI_p1000_bs32_original_label_enc,0.6591857079258433,0.039178848553549105,0.6591857079258433,0.039178848553549105,5
Fusion_Smart_TransMIL_Midnight_p100_bs32_original_one_hot,0.6660393944475744,0.0655698718649567,0.6660393944475744,0.0655698718649567,5
Fusion_Smart_MeanMIL_UNI_p4000_bsFull_original_one_hot,0.6546395834764062,0.05350324558630271,0.6546395834764062,0.05350324558630271,5
EarlyEnsemble_Fusion_Naive_ABMIL_VirchowMidnight_p4000_bs32_binary_one_hot,0.6448582080639785,0.05708606580109221,0.6448582080639785,0.05708606580109221,5
Fusion_Naive_MeanMIL_Midnight_p4000_bs32_original_one_hot,0.6473830210108017,0.0705936466199619,0.6473830210108017,0.0705936466199619,5
Fusion_Smart_ABMIL_Virchow_p100_bsFull_original_label_enc,0.667397741639981,0.03619101364648443,0.667397741639981,0.03619101364648443,5
Fusion_Smart_MeanMIL_Midnight_p100_bs32_binary_label_enc,0.6760670126895458,0.07445643725623421,0.6760670126895458,0.07445643725623421,5
Fusion_Naive_TransMIL_UNI_p1000_bs32_binary_label_enc,0.6570693956667046,0.046660824796706336,0.6570693956667046,0.046660824796706336,5
WSI_TransMIL_Virchow_p4000_bs32_binary_None,0.6355476921339773,0.03576501787232599,0.6355476921339773,0.03576501787232599,5
EarlyEnsemble_WSI_TransMIL_VirchowMidnight_p4000_bsFull_original_None,0.6208394804217512,0.03995115538004277,0.6208394804217512,0.03995115538004277,5
WSI_TransMIL_UNI_p100_bs32_original_None,0.6488120190273868,0.05051720941871424,0.6488120190273868,0.05051720941871424,5
EarlyEnsemble_Fusion_Smart_MeanMIL_VirchowMidnight_p4000_bsFull_binary_one_hot,0.6400335894823964,0.04951115049668873,0.6400335894823964,0.04951115049668873,5
Fusion_Smart_TransMIL_Virchow_p100_bs32_binary_one_hot,0.6791485392780098,0.04864246057067696,0.6791485392780098,0.04864246057067696,5
EarlyEnsemble_Fusion_Smart_ABMIL_VirchowMidnight_p1000_bs32_binary_label_enc,0.6618566804280182,0.05192101013805335,0.6618566804280182,0.05192101013805335,5
EarlyEnsemble_Fusion_Smart_ABMIL_VirchowMidnight_p1000_bsFull_binary_label_enc,0.6658158501771567,0.051676978552025035,0.6658158501771567,0.051676978552025035,5
